,end_of_period,loan_number,region,country_code,country,borrower,guarantor_country_code,guarantor,loan_type,loan_status,interest_rate,project_id,project_name,original_principal_amount,cancelled_amount,undisbursed_amount,disbursed_amount,repaid_to_ibrd,due_to_ibrd,exchange_adjustment,borrower_s_obligation,sold_3rd_party,repaid_3rd_party,due_3rd_party,loans_held,first_repayment_date,last_repayment_date,agreement_signing_date,board_approval_date,effective_date_most_recent_,closed_date_most_recent_
348,2023-02-28T00:00:00.000,IBRD03400,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,0.0000,P009625,ICICI V (DFC),30000000.00,3066466.09,0.00,26933533.91,26933533.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1965-06-01T00:00:00.000,1977-12-01T00:00:00.000,1963-06-05T00:00:00.000,1963-06-04T00:00:00.000,1963-09-17T00:00:00.000,1978-04-30T00:00:00.000
306,2023-02-28T00:00:00.000,IBRD02980,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.7500,P009622,RAILWAY VI,50000000.00,0.00,0.00,50000000.00,43207000.00,0.00,0.00,0.00,6793000.00,6793000.00,0.00,0.00,1965-02-15T00:00:00.000,1981-08-15T00:00:00.000,1961-10-13T00:00:00.000,1961-10-12T00:00:00.000,1961-12-12T00:00:00.000,1962-12-31T00:00:00.000
302,2023-02-28T00:00:00.000,IBRD02940,SOUTH ASIA,IN,India,THE COMMISSIONERS FOR THE PORT,IN,India,NPL,Fully Repaid,5.7500,P009621,CALCUTTA PORT II,21000000.00,2162962.98,0.00,18837037.02,17751037.02,0.00,0.00,0.00,1086000.00,1086000.00,0.00,0.00,1966-05-15T00:00:00.000,1986-05-15T00:00:00.000,1961-08-17T00:00:00.000,1961-07-06T00:00:00.000,1961-09-27T00:00:00.000,1968-07-31T00:00:00.000
315,2023-02-28T00:00:00.000,IBRD03070,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.7500,P009619,COAL MINING,19500000.00,928960.29,0.00,18571039.71,18171039.71,0.00,0.00,0.00,400000.00,400000.00,0.00,0.00,1967-02-01T00:00:00.000,1974-02-01T00:00:00.000,1961-12-22T00:00:00.000,1961-12-21T00:00:00.000,1963-09-17T00:00:00.000,1973-12-31T00:00:00.000
300,2023-02-28T00:00:00.000,IBRD02920,SOUTH ASIA,IN,India,SENIOR ACCOUNTS OFFICER - MIN OF FIN,IN,India,NPL,Fully Repaid,5.7500,P009618,COAL MINING,35000000.00,6211812.54,0.00,28788187.46,26417187.46,0.00,0.00,0.00,2371000.00,2371000.00,0.00,0.00,1966-05-15T00:00:00.000,1977-11-15T00:00:00.000,1961-08-09T00:00:00.000,1961-08-08T00:00:00.000,1961-10-18T00:00:00.000,1966-12-31T00:00:00.000
320,2023-02-28T00:00:00.000,IBRD03120,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,0.0000,P009617,ICICI IV (DFC),20000000.00,957081.54,0.00,19042918.46,19042918.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1965-04-15T00:00:00.000,1977-04-15T00:00:00.000,1962-02-28T00:00:00.000,1962-02-27T00:00:00.000,1962-05-21T00:00:00.000,1967-12-31T00:00:00.000
270,2023-02-28T00:00:00.000,IBRD02620,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.7500,P009611,RAILWAY V,70000000.00,0.00,0.00,70000000.00,60345200.76,0.00,0.01,0.01,9654799.24,9654799.24,0.00,0.00,1964-01-15T00:00:00.000,1980-07-15T00:00:00.000,1960-07-29T00:00:00.000,1960-07-28T00:00:00.000,1960-10-13T00:00:00.000,1962-01-31T00:00:00.000
277,2023-02-28T00:00:00.000,IBRD02690,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,0.0000,P009609,ICICI III (DFC),20000000.00,688892.43,0.00,19311107.57,19311107.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1963-11-01T00:00:00.000,1970-11-01T00:00:00.000,1960-10-28T00:00:00.000,1960-10-27T00:00:00.000,1961-02-02T00:00:00.000,1967-10-31T00:00:00.000
239,2023-02-28T00:00:00.000,IBRD02330,SOUTH ASIA,IN,India,SENIOR ACCOUNTS OFFICER - MIN OF FIN,IN,India,NPL,Fully Repaid,6.0000,P009608,RAILWAY,50000000.00,0.00,0.00,50000000.00,46038000.00,0.00,0.00,0.00,3962000.00,3962000.00,0.00,0.00,1963-01-15T00:00:00.000,1979-07-15T00:00:00.000,1959-07-15T00:00:00.000,1959-07-14T00:00:00.000,1959-09-17T00:00:00.000,1960-06-30T00:00:00.000
238,2023-02-28T00:00:00.000,IBRD02320,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,0.0000,P009607,ICICI II (DFC),10000000.00,232269.47,0.00,9767730.53,9767730.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1962-10-01T00:00:00.000,1969-10-01T00:00:00.000,1959-07-15T00:00:00.000,1959-07-14T00:00:00.000,1959-12-11T00:00:00.000,1966-03-31T00:00:00.000
213,2023-02-28T00:00:00.000,IBRD02070,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.7500,P009606,RAILWAY,85000000.00,0.00,0.00,85000000.00,67183421.94,0.00,0.01,0.01,17816578.06,17816578.06,0.00,0.00,1963-01-15T00:00:00.000,1981-01-15T00:00:00.000,1958-09-16T00:00:00.000,1958-09-12T00:00:00.000,1958-10-14T00:00:00.000,1959-06-30T00:00:00.000
209,2023-02-28T00:00:00.000,IBRD02030,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.3750,P009605,POWER,25000000.00,3000000.00,0.00,22000000.00,20097328.70,0.00,0.00,0.00,1902671.30,1902671.30,0.00,0.00,1961-08-01T00:00:00.000,1981-02-01T00:00:00.000,1958-07-23T00:00:00.000,1958-07-22T00:00:00.000,1958-09-26T00:00:00.000,1965-06-30T00:00:00.000
229,2023-02-28T00:00:00.000,IBRD02230,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.7500,P009604,KOYNA POWER,25000000.00,6300000.00,0.00,18700000.00,17399000.00,0.00,0.00,0.00,1301000.00,1301000.00,0.00,0.00,1965-05-01T00:00:00.000,1984-05-01T00:00:00.000,1959-04-08T00:00:00.000,1959-04-07T00:00:00.000,1959-07-16T00:00:00.000,1965-04-30T00:00:00.000
174,2023-02-28T00:00:00.000,IBRD01700,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.6250,P009603,RAILWAY II D,35700000.00,0.00,0.00,35700000.00,29538000.00,0.00,0.00,0.00,6162000.00,6162000.00,0.00,0.00,1961-07-01T00:00:00.000,1981-01-01T00:00:00.000,1957-07-12T00:00:00.000,1957-07-12T00:00:00.000,1957-09-07T00:00:00.000,1958-12-31T00:00:00.000
173,2023-02-28T00:00:00.000,IBRD01690,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.6250,P009602,RAILWAY II C,11200000.00,0.00,0.00,11200000.00,11200000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1961-07-01T00:00:00.000,1981-01-01T00:00:00.000,1957-07-12T00:00:00.000,1957-07-12T00:00:00.000,1957-09-07T00:00:00.000,1958-12-31T00:00:00.000
172,2023-02-28T00:00:00.000,IBRD01680,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.6250,P009601,RAILWAY II B,19110000.00,0.00,0.00,19110000.00,19110000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1961-07-01T00:00:00.000,1981-01-01T00:00:00.000,1957-07-12T00:00:00.000,1957-07-12T00:00:00.000,1957-09-07T00:00:00.000,1958-12-31T00:00:00.000
